Arrondissements of Paris,Arrondissements of Paris.1
,
Country,France
Region,Île-de-France
Department,Paris
Cantons,20
Communes,1
Prefecture,Paris
Area¹,Area¹
• Total,105 km2 (41 sq mi)
Population (2009),Population (2009)
• Total,2234105
• Density,"21,300/km2 (55,100/sq mi)"
"¹ French Land Registry data, which exclude lakes, ponds, and glaciers larger than 1 km², as well as the estuaries of rivers.","¹ French Land Registry data, which exclude lakes, ponds, and glaciers larger than 1 km², as well as the estuaries of rivers."
